customer_id,transaction_date,amount,payment_method,is_refund
104574,2025-03-26,1190.23,Card,0
102581,2025-06-01,1167.95,Wallet,0
101969,2024-07-17,935.21,NetBanking,0
104688,2023-05-15,1418.42,UPI,0
104935,2023-11-03,2731.96,NetBanking,0
104054,2024-04-25,1678.93,Card,0
104645,2025-03-23,2437.5,UPI,0
103086,2025-03-24,201.93,Wallet,0
100221,2025-03-11,2246.86,Card,0
100876,2025-03-14,1035.48,Wallet,0
103463,2023-01-17,892.27,Wallet,0
102726,2024-01-25,773.14,Card,0
101197,2024-09-19,784.27,UPI,0
102710,2025-03-16,598.96,UPI,0
102732,2024-02-22,474.89,UPI,0
100336,2023-02-18,449.8,Wallet,0
100225,2023-03-02,1537.33,UPI,0
103942,2023-11-10,1253.97,NetBanking,0
104284,2024-08-10,478.55,UPI,0
101248,2025-02-18,268.0,UPI,0
102691,2023-05-26,2442.95,Wallet,1
103958,2024-12-02,1005.93,UPI,0
104590,2024-05-10,914.21,Wallet,0
101887,2023-01-06,488.51,Card,0
100311,2023-07-24,1236.44,NetBanking,0
102569,2025-05-12,242.19,Card,0
101605,2023-09-07,1761.04,Wallet,0
103983,2023-12-11,587.68,Wallet,0
100369,2024-03-07,425.4,UPI,0
103547,2023-12-10,449.12,Card,0
104842,2024-09-09,1351.87,Wallet,0
100998,2025-02-17,544.78,Card,0
100497,2024-02-21,2075.37,Wallet,0
100964,2024-06-16,339.0,NetBanking,0
102005,2024-05-01,1157.29,Wallet,0
101199,2023-02-24,364.45,NetBanking,0
102346,2023-06-26,850.83,Wallet,1
100577,2025-01-17,1005.35,UPI,0
103161,2025-06-02,2007.16,UPI,0
100054,2024-04-12,1101.46,UPI,0
103433,2024-05-09,2483.39,UPI,0
100229,2024-06-04,954.42,Card,0
100779,2025-05-12,200.48,Card,0
103831,2023-04-28,1669.15,NetBanking,0
100985,2025-03-16,1652.95,Wallet,0
104469,2024-01-24,977.15,Wallet,0
100469,2024-09-04,587.04,UPI,0
102468,2024-02-22,640.61,UPI,0
101850,2023-07-21,519.91,Wallet,0
100532,2025-05-13,84.88,Card,0
103036,2025-05-18,1795.76,Wallet,0
100562,2023-05-25,1923.23,NetBanking,1
100090,2023-06-30,729.75,Card,0
101407,2023-02-05,386.67,NetBanking,0
104465,2023-02-05,572.54,Wallet,0
103146,2024-02-01,596.5,Wallet,0
101293,2024-06-15,773.74,NetBanking,1
104111,2025-03-29,1047.85,Wallet,0
103782,2023-08-18,249.35,Wallet,0
104068,2023-07-30,944.62,Card,0
103506,2024-04-14,1139.58,Card,0
102392,2025-02-22,1174.22,NetBanking,0
101219,2023-01-06,531.14,NetBanking,0
101946,2024-04-03,750.49,Wallet,0
102253,2024-01-29,218.55,UPI,0
103892,2023-06-08,643.8,Card,0
101675,2023-05-26,1234.3,UPI,0
100776,2023-12-18,783.34,NetBanking,0
104782,2024-11-11,2234.23,Wallet,0
103568,2025-05-23,439.13,UPI,0
102766,2023-02-16,2500.35,UPI,0
100225,2024-06-19,198.21,NetBanking,0
100064,2023-04-20,297.52,NetBanking,0
101788,2024-08-27,1982.5,UPI,0
103851,2024-05-01,1891.14,NetBanking,0
101376,2023-08-05,697.17,UPI,1
103535,2023-04-14,643.6,NetBanking,0
103916,2024-12-29,1518.11,Card,0
104453,2024-11-10,559.13,Wallet,0
100093,2024-07-10,989.65,UPI,0
102743,2023-12-05,295.62,NetBanking,0
101678,2024-12-14,821.21,UPI,0
103667,2025-02-07,950.92,UPI,0
103865,2023-10-10,994.58,Wallet,0
102482,2024-06-17,1046.15,Card,0
104937,2023-01-28,322.46,UPI,0
101402,2025-02-04,482.66,UPI,0
101607,2024-06-30,546.09,NetBanking,0
103957,2024-05-29,1860.98,Card,0
103410,2024-02-26,2992.91,NetBanking,0
103072,2024-12-30,1269.28,Wallet,0
100898,2025-03-22,2238.42,UPI,0
102932,2024-05-19,87.96,NetBanking,0
104588,2023-09-11,822.71,UPI,0
103714,2023-08-28,1366.54,Card,0
103132,2023-08-29,711.78,UPI,0
101533,2023-07-21,977.49,UPI,0
101978,2023-05-15,3377.17,Card,0
101799,2024-04-22,1499.47,Wallet,0
101352,2024-04-17,440.69,Wallet,0
101839,2024-03-01,654.09,NetBanking,0
102561,2023-12-20,1173.98,Wallet,0
102992,2024-01-02,838.98,Card,0
101664,2024-07-22,1322.35,NetBanking,0
102398,2023-03-26,611.21,UPI,0
103204,2023-06-06,772.49,Card,0
104642,2023-12-03,700.69,NetBanking,0
100599,2023-07-10,679.09,Card,0
102045,2024-05-13,800.11,NetBanking,0
100259,2023-01-21,1553.48,Card,0
104572,2024-09-01,2594.4,UPI,0
101906,2024-11-23,1076.17,NetBanking,0
103020,2024-10-17,1176.82,NetBanking,0
100388,2024-11-16,716.92,Card,0
103870,2024-05-06,2260.81,UPI,0
101862,2023-05-17,660.19,Card,0
103633,2023-08-24,1127.43,Wallet,1
100798,2023-01-03,773.36,Wallet,0
102504,2023-01-23,2024.44,Card,0
104021,2023-05-21,630.79,UPI,0
101926,2023-02-07,3137.43,Wallet,0
103955,2023-06-11,647.31,Wallet,0
101628,2023-08-10,1552.8,NetBanking,0
104313,2025-01-12,495.0,Card,0
100789,2024-02-14,999.16,Wallet,0
102057,2023-01-20,683.9,UPI,0
101064,2024-07-11,1547.21,Card,0
104469,2023-04-12,1787.86,UPI,0
101448,2025-04-02,276.32,Card,0
100515,2024-05-01,1131.18,UPI,0
104460,2023-11-03,578.9,UPI,0
101914,2023-02-26,941.58,NetBanking,0
101952,2025-04-27,2983.48,Card,0
100774,2024-11-08,245.03,Wallet,1
100329,2025-04-15,1548.07,Wallet,0
100794,2023-05-20,2093.19,UPI,0
100962,2024-04-18,882.99,UPI,0
104693,2023-04-27,1055.48,Card,0
101411,2023-05-18,1699.34,UPI,0
101138,2023-11-17,662.43,Wallet,0
104667,2023-09-25,1106.28,Wallet,0
101569,2024-03-11,539.78,NetBanking,0
104473,2025-02-04,1256.01,Card,0
103275,2023-02-20,1092.01,Card,0
103274,2023-11-16,1327.63,Card,0
103470,2024-11-27,534.98,UPI,0
101964,2024-08-27,590.51,UPI,0
102166,2024-06-14,1169.22,Wallet,0
104637,2024-10-31,672.75,UPI,0
103573,2025-01-01,712.6,Wallet,0
101876,2024-12-25,824.05,Card,0
101237,2023-12-04,744.8,UPI,0
102747,2025-01-14,294.84,UPI,0
104209,2023-01-24,456.53,UPI,0
104469,2023-10-09,2227.98,Card,0
102347,2023-02-05,1118.74,NetBanking,0
101043,2025-05-24,428.24,NetBanking,0
104872,2025-04-03,789.74,Wallet,0
104767,2024-12-20,876.85,UPI,0
104107,2025-04-05,319.6,Card,0
100008,2024-05-14,1337.9,UPI,0
103697,2024-06-27,324.58,UPI,0
103732,2023-09-15,763.89,NetBanking,0
101574,2023-12-04,327.49,UPI,0
100461,2023-06-26,831.59,Card,0
103307,2024-05-11,546.32,Card,0
102303,2024-03-05,974.47,NetBanking,0
102634,2024-05-07,1433.98,Wallet,0
101352,2024-08-17,80.68,UPI,0
100362,2025-06-08,557.12,Card,0
100788,2025-04-02,315.75,UPI,0
100209,2025-01-11,1186.8,NetBanking,0
100267,2023-09-25,628.15,UPI,0
104752,2024-12-17,425.26,NetBanking,0
100554,2024-03-22,554.49,Wallet,0
101588,2024-11-05,1373.63,Card,0
104517,2023-08-28,409.08,Wallet,0
101119,2023-04-27,403.45,Card,0
101514,2024-08-08,92.1,Card,0
101927,2024-02-10,884.02,Card,0
103404,2023-09-23,231.11,UPI,0
103062,2023-11-02,541.05,NetBanking,1
100221,2024-02-23,601.98,NetBanking,0
102345,2024-10-17,671.1,NetBanking,0
101972,2025-03-14,319.74,NetBanking,0
104439,2024-07-26,619.03,NetBanking,0
104689,2024-08-09,1011.17,Wallet,0
104065,2023-01-17,1661.47,UPI,0
101985,2025-05-06,346.97,NetBanking,0
100892,2025-06-15,133.0,Card,0
104803,2023-01-12,1313.82,Card,0
103527,2024-05-29,888.92,NetBanking,0
101206,2025-06-01,1768.92,NetBanking,0
104853,2024-08-07,232.24,UPI,0
101219,2023-03-24,89.07,UPI,0
101856,2024-10-20,797.53,UPI,0
102000,2024-01-18,1450.79,Card,0
102436,2024-09-17,1379.54,Wallet,0
102975,2023-03-25,512.88,Wallet,0
103099,2024-08-09,1027.97,UPI,0
103387,2025-02-28,375.07,NetBanking,0
104544,2024-05-27,781.32,Wallet,0
101817,2024-07-18,1019.15,Card,0
101778,2024-05-23,969.23,NetBanking,0
102505,2023-06-21,1214.26,NetBanking,0
102940,2024-05-05,369.79,NetBanking,0
100839,2023-09-23,1571.2,NetBanking,0
102702,2024-04-03,433.37,UPI,0
104760,2023-01-08,614.14,Card,0
104861,2023-05-25,490.2,Card,0
103139,2024-12-10,2055.9,UPI,0
100176,2025-02-01,2722.09,Wallet,0
104606,2023-05-15,544.17,Wallet,0
103687,2024-09-28,1516.28,Wallet,0
103163,2025-04-10,768.16,Wallet,0
102753,2025-05-12,1897.44,UPI,0
101190,2024-02-25,735.43,Wallet,0
104698,2023-03-09,372.93,NetBanking,0
100838,2024-07-29,186.35,UPI,0
103899,2023-09-11,1218.87,UPI,0
103852,2025-02-13,333.06,Wallet,0
102734,2024-02-04,1177.76,Card,0
103811,2023-12-22,597.0,UPI,0
102654,2025-01-08,3631.12,UPI,0
103251,2025-02-20,820.51,Wallet,0
103350,2023-09-07,535.57,UPI,0
103311,2023-06-13,509.11,NetBanking,0
104681,2025-06-03,715.28,UPI,0
102387,2025-04-20,1086.09,NetBanking,0
100374,2023-09-24,1019.78,NetBanking,0
104676,2024-01-19,1198.18,UPI,0
104613,2024-01-20,575.85,Card,0
101262,2023-09-22,1983.28,Card,0
100121,2024-06-20,1460.0,UPI,0
103846,2024-09-07,521.23,UPI,0
102885,2025-02-21,1400.55,NetBanking,0
102618,2025-02-03,607.64,NetBanking,0
104139,2024-07-23,161.48,Wallet,0
103269,2023-01-24,79.51,Wallet,0
102043,2024-08-06,896.51,Wallet,0
102120,2024-01-07,1235.11,Wallet,0
100491,2024-08-27,1606.34,NetBanking,0
104845,2023-05-07,106.01,UPI,0
103046,2023-06-23,1214.34,NetBanking,0
100383,2023-01-18,800.23,Wallet,1
100805,2024-03-26,1860.02,Wallet,1
101178,2023-03-04,1456.61,Card,0
102218,2024-09-14,1228.84,Card,0
101296,2023-06-01,966.49,Wallet,0
100918,2025-05-01,215.73,Wallet,0
104247,2024-11-01,932.22,Card,0
104527,2024-04-18,1355.71,Wallet,0
102415,2024-05-21,263.2,Card,0
100651,2025-01-20,763.17,NetBanking,0
104916,2025-01-19,1517.87,Wallet,0
102287,2025-03-21,159.55,NetBanking,0
102752,2023-01-08,596.13,Wallet,0
103199,2023-08-12,1704.87,Card,0
100942,2023-07-19,264.57,Card,0
100541,2023-05-13,421.89,UPI,0
102681,2025-04-27,7.86,Card,0
103728,2024-06-22,906.42,Card,0
102530,2024-01-17,793.3,Card,0
101203,2023-07-10,303.44,NetBanking,0
104965,2023-08-19,267.47,Card,0
100651,2024-12-05,672.44,UPI,0
103007,2024-07-28,660.61,NetBanking,0
104533,2023-11-19,222.87,Wallet,0
102905,2023-02-21,260.41,NetBanking,0
100314,2023-12-03,457.16,Card,0
104115,2024-08-17,201.41,Wallet,0
101184,2025-06-18,433.22,UPI,1
104914,2023-11-29,213.57,UPI,0
100122,2024-03-10,1732.08,NetBanking,1
100169,2025-01-23,698.63,UPI,0
103683,2024-11-13,404.55,Wallet,0
104725,2024-11-25,44.18,Wallet,0
104122,2024-04-18,1160.57,UPI,0
103969,2025-03-19,2807.3,NetBanking,0
104018,2024-11-01,582.72,UPI,0
103698,2024-05-21,775.29,NetBanking,0
101730,2025-03-13,2452.59,NetBanking,0
103556,2024-12-20,1104.85,Card,0
101119,2025-04-04,2628.68,Wallet,0
102169,2024-02-12,423.75,Card,0
104222,2025-03-31,1180.9,Wallet,0
104782,2025-03-08,4628.79,Wallet,0
103117,2024-01-14,1793.35,Card,0
104731,2025-02-02,245.47,Card,0
102430,2024-12-21,448.5,UPI,0
102008,2023-07-24,753.03,NetBanking,0
101051,2023-12-24,615.08,UPI,0
100705,2023-09-06,1340.74,NetBanking,0
102900,2023-05-29,1275.53,Wallet,0
103208,2024-10-31,1290.35,UPI,0
100707,2024-04-29,502.64,UPI,0
103833,2024-09-04,1369.75,Wallet,0
102009,2025-02-28,602.5,NetBanking,0
104722,2023-11-14,1329.51,Wallet,0
104622,2024-05-25,909.03,UPI,0
101598,2023-10-14,526.94,Card,0
101067,2024-01-23,1004.97,UPI,1
101947,2025-02-16,307.2,Card,0
102800,2025-03-08,245.65,Card,0
